season,district,site,field_lati,field_long,site_latit,site_longi,block_id,seed_id,seed_rate_,seed_cost_,yield_t_ha,EnvIndex_t,RelYield__,profit_USD,wi,slope,sipi91_432,sipi8,sipi7,savi9,savi81_432,savi7,npcri9,npcri8,nprci7,ndwi9,ndwi8,ndwi7,ndvi7,gci9,gci8,gci7,evi9,evi8,evi7,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,bsi9,bsi8,bsi7,bi8,bi7,aspect,arvi9,arvi8,arvi7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
LR2018,Ndalu,Lungai,0.790938,34.90169,0.779332,34.90301,75503,scduma43,7.14,52,5.68,5.4525,4.172398,1705.363,7.55562,2.77784,1.24685,1.12749,1.0615,0.34344,0.36008,1.0615,0.3547,0.30721,0.18984,-0.54599,-0.59776,-0.64773,0.7218,2.40516,2.97213,3.67742,0.33488,0.35375,0.47332,1959,2895,3055,3034,2756,2535,1524,972,891,463,978,1848,2638,2394,2068,1017,2423,274,610,517,3045,335,651,492,941,1827,3118,2979,2465,996,0.31859,0.12919,0.11908,0.24775,0.30845,180,0.28543,0.44573,0.54904,-12.68208,-8.64708,-13.84852,-8.1833,-15.99052,-11.29042,4.03501,1.46663,5.66522,5.66522,4.70011,1.41629,0,0,0,0,0,0,0,0,0,0,-12.68208,-8.64708,-13.84852,-8.1833,-15.99052,-11.29042,4.03501,1.46663,5.66522,5.66522,4.70011,1.41629,8342,6654,3149,2844,2239,4023,1754,2258,485,686
LR2018,Ndalu,Lungai,0.777101,34.91082,0.779332,34.90301,78420,scduma43,6.66,49,6.87,6.14,11.88925,2094.958,6.21854,3.52422,1.11672,1.0746,1.07125,0.41078,0.43974,1.07125,0.32683,0.28213,0.29954,-0.6383,-0.69439,-0.69664,0.76389,3.52951,4.5442,4.59292,0.40901,0.44492,0.48917,1140,2197,3061,2840,2961,2483,1042,544,627,276,987,1862,3000,2738,2457,936,2822,229,509,409,3160,228,565,423,867,1728,3419,3158,2633,993,0.28916,0.11247,0.07072,0.28515,0.31882,113.19859,0.4824,0.57715,0.60038,-16.29597,-8.89934,-13.92552,-9.10081,-15.32525,-10.63238,7.39663,1.83114,4.82471,4.82471,4.69288,1.44138,0,0,0,0,0,0,0,0,0,0,-16.29597,-8.89934,-13.92552,-9.10081,-15.32525,-10.63238,7.39663,1.83114,4.82471,4.82471,4.69288,1.44138,9240,5806,3105,2193,2547,4240,2086,2111,491,606
LR2018,Ndalu,Lungai,0.781384,34.90573,0.779332,34.90301,78425,scduma43,6.66,49,4.98,4.7,5.957447,1474.889,5.86982,4.98839,1.11111,1.07578,1.07203,0.46512,0.46521,1.07203,0.29412,0.2602,0.26641,-0.62135,-0.64481,-0.66428,0.74495,3.28196,3.63081,3.95729,0.48232,0.48157,0.50668,1479,2635,3745,3584,3510,3107,1478,704,837,384,1211,2300,3516,3183,2880,1262,3186,290,688,494,3366,285,679,492,1111,2072,3667,3437,2997,1244,0.36525,0.06522,0.06731,0.32241,0.34018,13.3925,0.47619,0.55735,0.5754,-14.12066,-8.74804,-14.12435,-10.52301,-13.79976,-9.07463,5.37263,1.61415,3.60134,3.60134,4.72513,1.5207,0,0,0,0,0,0,0,0,0,0,-14.12066,-8.74804,-14.12435,-10.52301,-13.79976,-9.07463,5.37263,1.61415,3.60134,3.60134,4.72513,1.5207,10384,6893,2734,2442,2415,4090,2102,2124,363,707
LR2018,Ndalu,Lungai,0.793502,34.90364,0.779332,34.90301,78434,scduma43,5.33,39,4.05,4.09,-0.978,1167.598,7.5253,1.90968,1.20969,1.1223,1.06448,0.37051,0.41371,1.06448,0.41209,0.35687,0.29226,-0.62371,-0.6438,-0.67944,0.77816,3.31509,3.61489,4.23913,0.35446,0.40833,0.5467,1293,2263,3003,2917,2773,2436,1274,771,676,321,954,1865,3065,2856,2384,1085,2852,255,618,538,3615,247,690,451,886,1835,3872,3619,3067,1119,0.30172,0.12403,0.00576,0.29023,0.3643,165.96376,0.35481,0.48554,0.62133,-14.01993,-7.96433,-13.52688,-7.94012,-14.48617,-8.97583,6.0556,1.76034,5.58676,5.58676,5.51034,1.61391,0,0,0,0,0,0,0,0,0,0,-14.01993,-7.96433,-13.52688,-7.94012,-14.48617,-8.97583,6.0556,1.76034,5.58676,5.58676,5.51034,1.61391,9873,6203,3960,2560,2851,4038,1849,2047,453,751
LR2018,Ndalu,Lungai,0.795357,34.90394,0.779332,34.90301,81059,scduma43,5.33,39,4.33,4.045,7.045735,1260.875,6.23164,3.47846,1.22217,1.09543,1.0626,0.37245,0.45712,1.0626,0.42385,0.30321,0.24548,-0.62923,-0.66151,-0.68681,0.75894,3.39416,3.90854,4.38591,0.35503,0.46679,0.53362,1364,2277,3263,3010,3086,2702,1254,818,685,331,1053,1903,3234,2952,2604,1136,3220,293,656,548,3517,292,653,482,943,1840,3600,3462,2879,1090,0.31192,0.12358,0.08479,0.32663,0.35499,86.18593,0.34258,0.52441,0.59606,-13.44793,-8.49062,-13.05787,-9.77953,-14.58883,-10.27883,4.95731,1.58386,3.27835,3.27835,4.31,1.41931,0,0,0,0,0,0,0,0,0,0,-13.44793,-8.49062,-13.05787,-9.77953,-14.58883,-10.27883,4.95731,1.58386,3.27835,3.27835,4.31,1.41931,8899,6312,3268,2207,2527,4036,1586,2081,501,436
